회사명,거래소코드,유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),기말이익잉여금(결손금)(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),총자본증가율(IFRS연결),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),자기자본증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),자기자본순이익률(IFRS연결),경영자본정상영업이익률(IFRS연결),경영자본순이익률(IFRS연결),자본금정상영업이익률(IFRS연결),자본금순이익률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업비용 대 영업수익비율(IFRS연결),기타손익비률(IFRS연결),금융손익비율(IFRS연결),금융비용부담률(IFRS연결),기업순이익률(IFRS연결),수지비율(관계기업투자손익 제외)(IFRS연결),인건비 대 총비용비율(IFRS연결),금융비용 대 총비용비율(IFRS연결),감가상각비 대 총비용비율(IFRS연결),감가상각률(IFRS연결),누적감가상각률(IFRS연결),이자부담률(IFRS연결),지급이자율(IFRS연결),차입금평균이자율(IFRS연결),유보율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순이익(IFRS연결)(원),1주당 CASH FLOW(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),유동자산구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS연결),유동자산 대 비유동자산비율(IFRS연결),당좌자산구성비율(IFRS연결),비유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),타인자본구성비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),비유동장기적합률(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),매출채권비율(IFRS연결),매출채권 대 매입채무비율(IFRS연결),"매출채권 대 상,제품비율(IFRS연결)",매입채무 대 재고자산비율(IFRS연결),부채비율(IFRS연결),유동부채비율(IFRS연결),단기차입금 대 총차입금비율(IFRS연결),비유동부채비율(IFRS연결),순운전자본비율(IFRS연결),차입금의존도(IFRS연결),차입금비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),유보액대비율(IFRS연결),유보액 대 납입자본배율(IFRS연결),유동자산집중도(IFRS연결),비유동자산집중도(IFRS연결),투자집중도(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),정상영업이익대비이자보상배율(IFRS연결),총자본회전률(IFRS연결),경영자본회전률(IFRS연결),자기자본회전률(IFRS연결),자본금회전률(IFRS연결),타인자본회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),재고자산회전률(IFRS연결),재고자산회전기간(IFRS연결),"상품,제품회전률(IFRS연결)","원,부재료회전률(IFRS연결)",재공품회전률(IFRS연결),매출채권회전률(IFRS연결),매출채권회전기간(IFRS연결),비유동자산회전률(IFRS연결),유형자산회전율(IFRS연결),순운전자본회전률(IFRS연결),운전자본회전률(IFRS연결),1회전기간(IFRS연결),부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),법인세비용차감전(계속사업)손익(IFRS연결)(백만원),인건비(IFRS연결)(백만원),금융비용(IFRS연결)(백만원),감가상각비(IFRS연결)(백만원),기계투자효율(IFRS연결)_4,부가가치율(IFRS연결)_5,PBR(최고)(IFRS),PSR(최고)(IFRS),기업가치(EV)(IFRS)(백만원),EBITDA(IFRS)(백만원),감사의견코드,라벨
한미반도체(주),42700,407791209,160040613,710872367,610049963,152614498,45759901,558917192,169984503,-1.79,38.1,-25.06,27.68,60.74,-5.42,251.5,56.27,45.69,27.31,36.5,35.6,21.27,45.9,27.43,50.39,30.11,2008.36,1200.14,43.73,54.31,-10.2,5.08,-1.13,20.4,66.74,16.2,-1.58,2.46,11.05,78.78,-3.91,3.96,5.73,5327.32,5741.95,1589,1452.28,2623.73,57.36,37.62,134.55,35.79,42.64,76.09,23.91,4253.46,56.03,55.02,254.8,158.95,64.96,95.75,273.99,0,34.95,31.43,29.59,49.71,1.84,34.85,0.41,0.54,2215.54,95.3,53.27,65.05,63.29,100.78,54.82,3203.03,13.11,16.67,0,0.78,1.1,1,43.95,3.47,15.53,23.5,1.54,2.34,4.49,81.25,0,41.01,5.05,5.96,61.23,1.58,3.71,1.13,0,0.01,269298.22,37.88,179.73,1106.72,48.18,198374.4,64489.45,-6295.21,9772.01,1106.72,48.18,32.95,34.38,7882834.91,265078.21,UQ,0
(주)파로스아이바이오,388870,16254052,973214,19628332,-92331586,-10560177,0,0,1014822,-33.89,-12.44,-4.13,-37.89,0,-34.34,0,0,0,0,-47.82,-51.1,-42.82,-53.66,-44.97,-51.4,-43.08,-194.88,-163.31,0,0,0,0,0,-46.08,602.37,32.32,-6.35,6.34,21.83,52.69,-68.25,4.86,2.81,187.56,0,-817,-721.99,-975.39,82.81,0,481.7,82.81,17.19,94.83,5.17,287.56,18.13,18.09,1670.14,1670.14,653.45,0,0,0,0,5.45,5.23,66.37,0.22,77.85,0.63,0.66,-2095.64,61.85,1.88,0,0,0,-824.8,-6765.68,-42.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6468.61,-32.96,-229.59,-1280.71,0,-10560.18,4092.62,-803.96,802.91,-1280.71,0,15.09,0,92796.07,-9155.34,UQ,0
(주)파멥신,208340,47038194,3673254,54289151,-74743028,-4923833,0,3885545,6598065,103.36,-5.84,17.5,129.17,0,187.56,5083.22,11.55,-198.51,-126.72,-16.56,-19.05,-12.16,-24,-15.32,-21.21,-13.54,-27.95,-17.84,88.45,298.51,71.79,59.96,-23.15,-14.38,155.95,17.05,-6.55,6.45,30.79,187.08,-10.77,3.38,2.45,19.12,115.69,-93,-229.41,-229.65,86.64,0.37,648.72,86.33,13.36,87.85,12.15,118.93,15.2,14.33,1280.56,1275.87,221.17,1051.53,0,1051.53,0,13.84,7.7,75.41,6.13,79.88,5.97,6.79,-70.36,14.12,0.19,869.42,172.71,1283.05,-148.93,-303.24,-18.1,-252.9,0,0.1,0.11,0.12,0.14,0.47,0,0,0.12,0.12,45.12,8.09,45.12,0,0,4.29,85.06,0.58,2.33,0.1,0.02,0.01,-2355.69,-4.34,-145.86,-1027.03,-60.63,-4923.83,2340.34,-899.55,885.22,-1027.03,-60.63,2.81,44.25,235587.16,-4311.58,UQ,0
(주)클로봇,466100,65669617,8026984,69510935,-46829057,-6729152,0,33395079,9543312,0,0,0,0,0,0,0,17.58,-22.43,-20.15,-9.51,-10.78,-9.68,-12.49,-11.23,-11.02,-9.9,-61.01,-54.81,82.42,122.43,2.28,1.39,-2.42,-10.84,119.4,33.44,-1.95,1.23,36.69,102.67,-8.46,8.09,8.09,387.95,17712.52,-313,-3987.67,-3973.11,94.47,5.53,1709.56,89.25,5.53,86.27,13.73,487.95,6.41,6.25,818.11,772.87,116.38,205.98,327.06,260,62.98,15.91,13.39,77.18,2.53,82.93,1.34,1.55,-99.6,68.61,3.88,196.64,11.5,203.47,-78.78,-808.57,-10.82,-22.51,0,0.48,0.49,0.56,2.72,3.5,14.6,25,0.51,0.54,9.2,39.69,11.61,49.06,0,4.46,81.76,8.69,40.26,0.45,0,0.01,6833.52,9.83,894.67,21606.61,20.46,-6729.15,13849.7,-807.29,508.23,21606.61,20.46,0.4,1.04,212463.99,-6642.84,UQ,0
(주)큐리언트,115180,50626748,5014602,65572921,-206893491,-24453127,-1,9179834,5386511,24.89,-17.6,84.14,14.06,-43.11,23.55,1.64,14.71,-299.33,-266.38,-44.03,-46.54,-41.42,-49.92,-45.23,-54.28,-48.3,-176.18,-151.1,85.29,399.33,32.95,31.96,-15.86,-43.88,295.75,9.86,-3.94,2.34,35.14,28.78,-36.41,3.3,4.73,236.72,303.68,-752,-771.33,-908.99,77.21,0.19,338.73,77.06,22.79,91.79,8.21,336.58,24.83,24.68,1009.59,1007.65,299.55,883.62,757.03,883.62,116.72,8.95,8.33,68.97,0.62,69.56,1.28,1.4,-989.12,65.72,2.52,517.52,125.62,587.22,-420.37,-2691.3,-34.53,-246.66,0,0.16,0.18,0.17,0.59,2.3,108.02,3.38,0.19,0.19,68.64,5.32,68.64,0,0,9.42,38.73,0.8,114.7,0.18,0,0.02,-21654.04,-33.02,-29946.53,0,-235.89,-24453.13,3643.1,-1455.95,865.11,0,-235.89,3.12,16.09,125320.94,-24261.24,UQ,0
(주)푸른소나무,57880,2294709,7222490,11616033,-52839147,-7651744,0,3657485,8892308,21.48,33.66,9.26,122.7,-100,190.05,80.83,11.95,-40.25,-209.21,-13.68,-13.9,-72.26,-80.39,-417.81,-25.1,-130.43,-4.11,-21.35,88.05,140.25,-168.95,-4.44,4.44,-70.73,70.66,121.79,5.79,22.38,41.09,14.09,1.85,9.41,15.38,-74.87,127.26,-388,-105.76,-51.23,19.75,0,24.62,19.75,80.25,23.45,76.55,22.16,342.23,212.16,31.77,31.77,4.03,0,121.24,0,0,326.48,265.17,31.25,61.31,-42.42,17.04,72.69,-7.91,-79.22,-0.75,45.46,244.06,248.75,-65.28,-293.2,-49.97,-158.72,-9.06,0.35,0.62,2,0.1,0.42,6.35,57.52,2.2,2.24,129.71,2.81,129.71,0,0,7.14,51.14,0.41,5.9,0.4,0.01,0,-3446.26,-29.67,-485.63,0,-94.22,-7651.74,3415.38,162.43,627.68,0,-94.22,0,0,217751.22,-842.71,DU,0
파라택시스코리아(주),288330,23360375,3874607,33492252,-149473430,-19932969,0,2178,5927588,2.48,-33.03,-7.49,7.5,0,35.98,-97.82,100,-872743.91,-915196.02,-56.17,-57.45,-60.24,-80.4,-86.75,-59.9,-62.81,-97.53,-101.36,0,872843.91,-42452.11,-17928.32,-10677.6,-60.95,3179.44,33.68,-1.13,6.96,38.92,21.57,-2.46,7.19,6.12,1.9,0.08,-485,-764.94,-701.92,69.75,0,230.56,69.75,30.25,82.3,17.7,101.86,36.76,34.21,602.91,602.91,148.06,0,0,0,0,21.5,14.06,45.39,7.45,58.18,7.84,9.52,-100.67,5.4,0.07,1035155.39,484021.59,1474387.68,-442.76,-999.73,-78.36,-1205014.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,96.08,0,0,0,0.25,0.01,-11561.02,-34.52,-2345.57,-3128.86,-530809.04,-19932.97,6932.31,-232.56,1431.63,-3128.86,-530809.04,9.71,28355.71,185014.01,-15419.7,UQ,0
두산로보틱스(주),454910,342028599,15446452,421690972,-136709021,-36560851,8347,46829944,19189792,-7.61,21.37,162.76,-19.73,107.07,-8.27,-11.71,20.35,-87.98,-78.07,-6.45,-9.38,-8.33,-9.79,-8.69,-9.84,-8.74,-127.13,-112.81,79.65,187.98,9.93,31.47,-26.65,-11.17,155.47,23.64,-12.47,6.14,24.78,43.34,-67.81,15.2,10.36,1141.9,722.46,-564,-675.26,-635.64,81.11,8.57,429.35,74.16,18.89,95.45,4.55,1241.9,19.79,19.61,2214.29,2024.55,1719.07,96.68,655.69,123.66,14.74,4.77,3.84,37.12,0.93,77.45,0.64,0.67,-100.8,87.76,11.42,820.13,117.42,818.05,-184.91,-1319.7,-8.41,-75.77,0,0.11,0.11,0.11,1.44,2.54,9.17,39.81,0.12,0.13,2.16,169.37,2.85,11.54,118.3,1.85,197.07,0.85,5.02,0.12,0,0,-19231.88,-4.56,-215.48,-318.58,-41.07,-36552.5,23653.2,-12478.82,6146.25,-318.58,-41.07,18.84,146.81,3128397.28,-30937.09,UQ,0
보로노이(주),310210,56455764,6770471,73658644,-189514476,-32613098,-32150,0,7246106,-22.18,0.19,-48.43,-7.9,0,-18.36,0,0,0,0,-40.25,-43.18,-38.75,-49.19,-44.14,-54.86,-49.24,-406.38,-364.71,0,0,0,0,0,-40.99,748.98,35.16,-5,5.22,31.89,215.25,-18.34,58.68,8.74,624.98,0,-1860,-1640.04,-2051.42,76.65,0,328.18,76.65,23.35,90.16,9.84,723.06,25.9,25.72,833.85,833.85,149.97,0,0,0,0,10.91,10.19,58.6,0.72,67.45,1.34,1.49,-62.57,77.93,6.25,0,0,0,-399.53,-2925.42,-39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18859.32,-25.6,-376.28,-1537.34,0,-32645.25,13245.49,-1884.91,1966,-1537.34,0,33.84,0,1459402.2,-34407.74,UQ,0
테고사이언스(주),191420,32134169,2285100,52515371,8064876,3316180,-477500,6759059,2826935,7.37,-2.58,-1.44,13.82,26.3,7.31,-13.04,70.67,-33,49.06,-2.63,-4.4,6.54,-4.65,6.96,-4.7,7,-55.01,82.62,29.33,133,75,8.09,-11.93,4.95,72.5,39.7,-8.57,5.74,3.96,36.69,-29.8,4.84,5.15,1178.99,833.54,418,-143,-275.05,61.19,5.17,157.67,58.03,38.81,94.62,5.38,1229.76,41.02,40.58,1406.25,1333.55,70.09,158.84,5865.38,229.79,2.71,5.69,4.6,82.64,1.09,56.84,3.53,3.73,-24.84,90.7,11.75,446.55,303.74,747.09,-34.56,-52.71,-1.86,-14.46,0,0.13,0.14,0.14,1.67,2.5,184.77,1.98,0.22,0.24,4.54,80.37,6.73,13.99,0,2.4,151.9,0.33,0.42,0.21,0,0,6305.67,12.01,39.72,1259,93.29,2838.68,3733.66,-806.2,539.53,1259,93.29,4.31,32.65,100187.33,-1455.23,UQ,0
씨피시스템(주),413630,24401787,2279100,47569039,17798445,-12093742,-489043,21290632,2869885,0,0,0,0,0,0,0,41.46,15.57,-56.8,8.02,6.97,-25.42,7.42,-27.06,7.21,-26.3,82.31,-300.22,58.54,84.43,-74.67,4.2,-2.11,-26.37,154.63,15.76,-1.26,5.5,14.19,69.13,-15.68,17.72,17.72,1232.94,528.52,-341,110.65,82.31,51.3,24.35,105.33,38.81,48.7,93.97,6.03,1109.62,51.83,51.15,1070.68,810.01,382.97,60.65,483.27,76.13,12.55,6.42,5.1,37.25,1.32,46.51,0.61,0.65,64.47,104.41,12.33,114.61,108.81,215.99,155.31,1535.66,9.37,20.93,0,0.45,0.46,0.48,5.29,7.42,28.56,12.78,0.87,1.15,3.58,101.85,4.5,29.77,43.17,5.91,61.77,0.92,1.01,0.8,0,0.01,-5463.99,-11.49,-26.1,-135.44,-25.66,-12582.79,5611.65,-449.99,1957.13,-135.44,-25.66,5.01,10.04,60975.3,5163.67,UQ,0
에이치엘비(주),28300,172281680,160718377,887424813,211934491,-108026799,-1222342,68125727,235310995,18.05,48.99,17.75,19.3,-15.18,10.06,58.8,17.69,-173.97,-158.57,-14.07,-14.46,-13.18,-19.2,-16.72,-22.92,-20.89,-181.26,-140.68,82.31,273.97,13.6,28.71,11.06,-12.26,193.16,36.55,3.77,3.11,2.21,5.88,3.72,6.7,9.63,789.88,520.65,-704,-873.63,-905.75,19.41,5.62,24.09,18.32,80.59,73.48,26.52,877.62,109.67,98.41,107.19,101.17,57.89,92.07,157.67,552.11,58.39,36.08,24.65,63.26,11.44,1.3,18.03,24.54,-11.06,66.99,9.05,232.43,970.6,823.18,-48.01,-70.6,-12.73,-165.83,-15.73,0.08,0.13,0.11,1.04,0.34,10.77,33.88,0.43,0.46,6.45,56.55,28.03,45.64,10.39,8.44,43.25,0.1,1.12,0.24,0.25,0.02,-18023.72,-2.03,-28,-401.11,-26.46,-109249.14,73136.24,7534.03,6227.94,-401.11,-26.46,16.25,866.15,9656125.03,-13003.42,UQ,0
에이치엘비테라퓨틱스(주),115450,54125069,31904450,219793069,-30176019,-23459940,0,54931941,37924951,9.46,-4.58,9.74,8.63,0.7,-1.87,2.2,18.57,-13.88,-42.71,-3.16,-3.63,-11.16,-4.32,-14.34,-5.17,-15.92,-19.78,-59.14,81.43,113.88,-27.86,-12.44,1.78,-10.69,124.45,9.09,1.16,9.57,8.82,4.56,2.92,8.41,11.77,295.77,695.41,-297,16.3,-96.52,24.63,9.93,32.67,22.18,75.37,82.75,17.25,392.97,91.09,88.17,169.65,152.81,56.21,160.53,179.06,196.98,89.65,20.85,17.54,77,3.31,10.11,10.62,12.84,-3.88,65.02,3.57,94.62,288.21,282.44,6.08,9.88,1.05,4.2,-7.78,0.26,0.37,0.31,1.43,1.63,8.45,43.19,1.06,1.18,10.26,35.58,12.29,77.78,306.81,6.06,60.21,0.35,6.04,0.68,0.13,0.02,-6163.92,-2.8,-69.42,-1814.02,-11.22,-22925.86,7689.96,979.75,8092.22,-1814.02,-11.22,7.25,25.01,946765.6,10759.02,UQ,0
워트(주),396470,58574019,1843712,65200720,36192864,3391770,661572,15184230,1922212,4.8,0.92,3.47,4.95,-27.25,4.27,18.21,30.1,13.37,22.34,6.22,3.19,5.32,3.28,5.47,3.19,5.33,125.98,210.41,69.9,86.63,13.32,12.74,-12.74,2.29,76.63,23.4,-14.55,1.37,4.52,34.45,-112.16,0,0,3825.47,941.95,210,363.68,125.98,89.84,5.73,883.91,84.69,10.16,97.05,2.95,3925.47,10.47,10.46,3176.96,2994.89,227.31,53.05,202.18,72.72,26.24,3.04,2.91,0,0.12,87.01,0,0,999999999,94.58,38.25,376.66,42.91,428.37,203.58,0,6,25.77,0,0.24,0.24,0.24,9.42,8.8,15.23,23.97,0.27,0.29,3.81,95.8,4.97,16.36,0,8.65,42.18,2.33,3,0.26,0,0.01,5438.16,8.34,106.86,2747.65,35.81,4053.34,3110.76,-1934.5,182.26,2747.65,35.81,4.83,19.42,117225.44,2216.19,UQ,0
국일제지(주),78130,64773041,9825038,142417007,-12433150,-13011937,-586814,56365161,19437928,-36.65,-42.2,-4.74,-54.8,-26.24,-10.72,-30.17,7.4,-2.29,-23.09,-0.25,-0.7,-7.09,-0.99,-9.98,-0.79,-7.93,-2.05,-20.69,92.6,102.29,0.6,1.12,-1.16,-7.44,101.65,27.4,-1.12,3.25,8.84,204.76,-1.23,112.6,0.6,9.08,50.25,-12,-12.04,-1.15,45.48,27.75,83.42,32.86,54.52,86.35,13.65,109.08,63.14,58.56,659.27,476.35,173.27,69.55,541.91,124.9,12.83,15.81,7.99,51.08,7.82,38.58,0.11,0.13,-7.3,7.19,0.09,184.58,141.18,194.63,-37.09,-4596.72,-5.06,-12.79,0,0.31,0.34,0.43,0.9,1.06,20.55,17.76,0.54,0.68,2.66,137.08,5.26,10.35,31.67,4.55,80.27,0.71,0.96,0.38,0,0.01,16911.6,11.87,40.26,130.54,30,-948.92,16007.87,-655.17,1897.65,130.54,30,0,0,885344.32,1278.94,UQ,0
에이치엘비이노베이션(주),24850,55517203,13554106,268011067,-11203692,-12369788,56352,25355832,16028155,0,0,0,0,0,0,0,11.22,-46.86,-48.78,-3.88,-4.43,-4.62,-4.72,-5.02,-4.5,-4.68,-16.47,-17.08,88.78,146.86,-1.7,-2.15,-0.61,-4.67,142.68,20.84,-0.38,3,3.04,35.27,-0.96,21.85,21.85,240.28,175.71,-144,-54.73,-82.34,20.71,10.04,26.13,18.64,79.29,94.02,5.98,340.25,84.33,83.51,409.6,368.49,234.2,53.02,168.36,432.22,31.49,6.36,5.38,59.4,0.98,15.66,2.27,2.42,-8.92,67.1,2.49,218.95,838.05,1042.01,-49.27,-129.6,-2.95,-31.15,0,0.09,0.1,0.1,0.35,1.58,14.45,25.26,0.46,0.51,4.55,80.21,37.09,8.36,15.39,8.58,42.53,0.12,1.19,0.37,0,0.01,-2655.89,-0.99,-12.51,-94.31,-10.47,-12313.44,8578.28,-154.56,1233.82,-94.31,-10.47,2.18,20.3,339325.64,-2210.02,UQ,0
(주)인트론바이오테크놀로지,48530,52226221,1338101,86374616,42769815,-2591158,-414720,6417829,2601943,-12.41,-13.14,-9.26,-14.35,11.2,-13.4,-33.05,58.23,-81.61,-40.37,-3.96,-5.66,-2.8,-5.8,-2.87,-6.59,-3.26,-30.67,-15.17,41.77,181.61,34.78,26.6,-24.17,-4.48,125.07,29.78,-11.81,15.42,10.24,50.18,-69.22,1.88,2.84,496.88,187.93,-79,-4.05,-153.37,60.46,2.15,152.94,59.16,39.54,96.99,3.01,490.61,40.76,40.16,3903.01,3818.99,2567.78,81.2,1505.9,123.47,5.39,3.11,1.6,13.54,1.51,58.92,1.44,1.49,-223.73,98.23,4.97,881.97,559.25,1138.56,57.25,119.68,1.72,23.21,0,0.07,0.08,0.07,0.38,2.86,210.27,1.74,0.11,0.12,6.01,60.72,9.58,17,0,4.43,82.48,0.18,0.31,0.11,0,0.01,1653.6,1.91,9.06,82.11,25.77,-3005.88,3912.57,-1551.3,2025.59,82.11,25.77,4.02,49.49,159783.27,-3210.82,UQ,0
(주)칩스앤미디어,94360,51900686,4960910,83980125,53759504,10009046,-1134686,27075424,8197584,7.68,-41.03,31.83,-3.27,0,7.55,-2,100,19.51,36.97,8.34,6.52,12.36,7.22,13.69,9.08,17.2,50.04,94.83,0,80.49,13.27,9.17,-5.28,10.59,71.33,28.17,-6.47,7.24,35.2,214.07,-18.18,7.31,3.98,740.45,1300.26,487,324.59,253.63,61.8,0,161.79,61.8,38.2,90.24,9.76,717.97,42.33,40.6,1046.19,1046.19,472.41,0,0,0,0,10.82,6.55,89.42,4.27,55.89,0.69,0.77,124.28,93.06,7.4,194.93,104.18,214.34,74.97,1057.62,7.32,22.7,0,0.33,0.47,0.37,2.57,3.44,0,0,0.51,0.51,0,0,0,0,0,8.97,40.67,0.96,11.58,0.47,0.11,0.02,16261.53,19.36,937.52,11250.77,60.06,8874.36,6219.87,-1429.18,1598.14,11250.77,60.06,10.79,29.15,304587.8,6893.88,UQ,0
(주)네이처셀,7390,42039041,4123540,71997509,-72136705,1226158,128772,32333908,7373108,5.26,7.93,7.85,3.49,-7.32,5.22,67.09,52.33,1.85,3.79,2.08,0.85,1.75,0.95,1.95,0.96,1.97,1.86,3.82,47.67,98.15,2.34,2.81,-2.14,0.76,95.95,22.34,-2.15,5.91,26.17,97.45,-9.64,9.42,8.2,100.83,503.98,19.09,23.58,9.31,58.39,7.07,140.32,54.26,41.61,89.76,10.24,200.83,46.36,44.14,1019.49,947.37,688.02,318.49,482.3,1028.87,66.04,11.41,6.38,43.67,5.03,52.66,2.48,2.76,3.56,45.07,1.01,127.82,89.28,192.92,-4.17,-17.25,-0.43,-0.95,0,0.46,0.52,0.51,1.01,4.51,28.59,12.77,0.78,0.85,10.46,34.9,29.3,16.27,0,4.86,75.13,1.12,2.78,0.71,0,0.01,10043.47,13.95,83.15,720.05,31.06,1354.93,7177.79,-691.76,1899.68,720.05,31.06,28.41,55.86,1357400.5,2555.62,UQ,0
(주)동서,26960,899754297,59271554,1779146551,1575985106,159046265,17936646,488860393,69670001,5.03,-11.66,4.43,5.61,19.87,5.37,-0.17,17.49,9.1,32.53,4.15,2.56,9.16,2.67,9.52,4.81,17.21,89.22,315.45,82.51,90.9,27.11,6.16,-5.61,7.58,71.71,7.93,-6.12,0.93,17.49,406.41,-38.98,5.3,6.3,3330.29,4903.31,1594,1135.81,446.11,50.57,7.42,102.32,46.82,49.43,96.08,3.92,3398.92,51.44,51.13,1518.02,1405.37,49.54,66.51,131.03,139.38,50.76,4.08,3.47,88.22,0.61,47.24,0.23,0.24,208.66,94.16,33.61,179.16,176.07,193.29,166.02,2878.23,6.5,23.66,0,0.28,0.53,0.29,9.81,6.94,14.04,26,0.56,0.6,7.98,45.72,15.67,178.53,206.64,10.82,33.72,0.57,10.87,0.52,0.2,0.02,189292.99,10.64,448.69,4266.03,38.72,176982.91,35591.53,-27445.77,4164.32,4266.03,38.72,1.97,7.01,2701481.58,43566.86,UQ,0
(주)디어유,376300,169131498,20729337,220326633,9584424,24388268,6760968,74863521,24295640,0,0,0,0,0,0,0,100,33.95,32.58,14.15,11.53,11.07,12.96,12.44,12.16,11.67,214.11,205.48,0,66.05,7.66,14.19,-7.43,8.54,63.99,20.34,-9.77,4.42,27.92,5.53,-22.9,4.89,4.89,1551.59,3153.69,1027,999.86,1070.56,76.76,0,330.37,76.76,23.24,88.97,11.03,1651.59,26.12,25.65,815.9,815.9,405.81,0,0,0,0,12.39,10.57,20.67,1.82,67.36,1.78,2,132.78,83.59,15.52,225.92,68.38,279.26,97.69,606.06,10.77,31.7,0,0.34,0.36,0.38,6.31,3.08,0,0,0.44,0.44,0,0,0,0,0,12.66,28.83,1.46,23.41,0.39,0.08,0.03,39748.53,18.04,1242.98,11651.34,53.09,31149.24,11584.08,-5563.92,2519.39,11651.34,53.09,5.31,13.3,776407.9,28613.13,UQ,0
(주)레인보우로보틱스,277810,113965182,5788485,139881006,-5908002,2135371,-775857,19346780,7129702,5.48,186.66,127.56,-5.99,15.96,1.6,26.8,32.64,-15.4,11.04,0.18,-2.19,1.57,-2.26,1.62,-2.36,1.69,-30.71,22.01,67.36,115.4,22.42,22.49,-16.61,-0.79,94.32,17.93,-14.25,4.04,16.46,59.39,-70.75,3.37,5.84,1268.58,997.26,110,-98.63,-153.56,81.47,6.28,439.75,76.35,18.53,94.9,5.1,1368.58,19.52,19.33,1968.83,1845.09,1183.17,125.22,706.94,305.06,17.71,5.37,4.36,57.88,1.01,77.33,0.25,0.27,-250.36,87.97,12.69,607.82,96.41,646.36,-16.7,-337.38,-0.85,-6.16,0,0.14,0.15,0.15,1.99,4.26,26.69,13.68,0.16,0.17,2.9,125.83,7.2,5.95,26.41,2.74,133.31,1.04,1.47,0.16,0,0,3099.82,2.22,32.15,513.04,16.02,1359.51,4043.59,-3213.68,910.4,513.04,16.02,30.53,205.86,3088403.92,-1404.08,UQ,0
(주)로보로보,215100,16958700,2244305,33401057,8834899,-106796,325229,13494458,2351425,0.33,85.25,0.97,-0.27,4.89,0.08,-5.38,58.93,-11.38,-0.79,-2.12,-4.6,-0.32,-4.95,-0.35,-7.29,-0.51,-75.46,-5.25,41.07,111.38,13,13.19,-6.06,-2.77,98.08,18.82,-5.36,3.01,17.16,0,-35.39,5.75,6.28,1439.19,663.17,-5,-80.65,-75.46,50.77,26.39,103.14,37.37,49.23,92.96,7.04,1522.79,52.96,52.77,755.63,556.22,75.32,55.09,574.14,258.92,9.6,7.57,7.23,78.85,0.34,44.05,0.62,0.67,-128.39,87.87,14.42,125.84,121.26,164.78,-13.06,-147.72,-0.92,-2.28,0,0.4,0.64,0.43,6.63,5.84,26.81,13.61,0.79,1.07,3.09,118.23,14.97,3.89,0,7.43,49.12,0.82,3.33,0.7,0,0.01,2716.9,8.13,51.55,387.52,20.13,218.43,2867.94,-817.16,458.25,387.52,20.13,4.56,15.8,77460.53,-946.01,UQ,0
