회사명,거래소코드,회계년도,유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),기말이익잉여금(결손금)(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),이자비용(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),종가(원),보통주(IFRS연결)(주),총자본증가율(IFRS연결),유형자산증가율(IFRS연결),비유동생물자산증가율(IFRS연결),투자부동산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),자기자본증가율(IFRS연결),매출액증가율(IFRS연결),정상영업이익증가율(IFRS연결),순이익증가율(IFRS연결),총포괄이익증가율(IFRS연결),종업원1인당 부가가치증가율(IFRS연결),종업원수증가율(IFRS연결),종업원1인당 매출액증가율(IFRS연결),종업원1인당 인건비증가율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),자기자본순이익률(IFRS연결),경영자본정상영업이익률(IFRS연결),경영자본순이익률(IFRS연결),자본금정상영업이익률(IFRS연결),자본금순이익률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업비용 대 영업수익비율(IFRS연결),기타손익비률(IFRS연결),금융손익비율(IFRS연결),금융비용부담률(IFRS연결),외환이익 대 매출액비율(IFRS연결),광고선전비 대 매출액비율(IFRS연결),세금과공과 대 세금과공과 차감전순이익률(IFRS연결),기업순이익률(IFRS연결),수지비율(관계기업투자손익 제외)(IFRS연결),인건비 대 총비용비율(IFRS연결),R & D 투자효율(IFRS연결),세금과공과 대 총비용비율(IFRS연결),금융비용 대 총비용비율(IFRS연결),감가상각비 대 총비용비율(IFRS연결),감가상각률(IFRS연결),누적감가상각률(IFRS연결),이자부담률(IFRS연결),지급이자율(IFRS연결),차입금평균이자율(IFRS연결),유보율(IFRS연결),사내유보율(IFRS연결),사내유보 대 자기자본비율(IFRS연결),적립금비율(재정비율)(IFRS연결),평균배당률(IFRS연결),자기자본배당률(IFRS연결),배당성향(IFRS연결),1주당매출액(IFRS연결)(원),1주당순이익(IFRS연결)(원),1주당 CASH FLOW(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),유동자산구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS연결),유동자산 대 비유동자산비율(IFRS연결),당좌자산구성비율(IFRS연결),비유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),타인자본구성비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),비유동장기적합률(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),매출채권비율(IFRS연결),재고자산 대 순운전자본비율(IFRS연결),매출채권 대 매입채무비율(IFRS연결),"매출채권 대 상,제품비율(IFRS연결)",매입채무 대 재고자산비율(IFRS연결),부채비율(IFRS연결),유동부채비율(IFRS연결),단기차입금 대 총차입금비율(IFRS연결),비유동부채비율(IFRS연결),비유동부채 대 순운전자본비율(IFRS연결),순운전자본비율(IFRS연결),차입금의존도(IFRS연결),차입금비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),유보액대비율(IFRS연결),유보액 대 납입자본배율(IFRS연결),유동자산집중도(IFRS연결),비유동자산집중도(IFRS연결),투자집중도(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),정상영업이익대비이자보상배율(IFRS연결),총자본회전률(IFRS연결),경영자본회전률(IFRS연결),자기자본회전률(IFRS연결),자본금회전률(IFRS연결),타인자본회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),재고자산회전률(IFRS연결),재고자산회전기간(IFRS연결),"상품,제품회전률(IFRS연결)","원,부재료회전률(IFRS연결)",재공품회전률(IFRS연결),매출채권회전률(IFRS연결),매출채권회전기간(IFRS연결),비유동자산회전률(IFRS연결),유형자산회전율(IFRS연결),순운전자본회전률(IFRS연결),운전자본회전률(IFRS연결),1회전기간(IFRS연결),부가가치(IFRS연결)(백만원),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),노동장비율(IFRS연결),기계장비율(IFRS연결),자본집약도(IFRS연결),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),노동소득분배율(IFRS연결),자본분배율(IFRS연결),이윤분배율(IFRS연결),부가가치(IFRS연결)(백만원),법인세비용차감전(계속사업)손익(IFRS연결)(백만원),인건비(IFRS연결)(백만원),금융비용(IFRS연결)(백만원),임차료(IFRS연결)(백만원),세금과공과(IFRS연결)(백만원),감가상각비(IFRS연결)(백만원),종업원1인당 부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),종업원수(IFRS연결),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),기업가치(EV)(IFRS)(백만원),EBITDA(IFRS)(백만원),감사의견코드,라벨
(주)넥스트아이,137940,Dec.24,67339210,32756639,114704623,16877958,-6904364,770082,0,52034758,35197530,510,78320992,3.44,-2.91,0,15.34,0.76,5.41,101.76,-4.34,193.17,0,0,0,,,,,64.73,-10.53,-13.27,-4.4,-4.86,-6.12,-6.72,-7.72,-6.04,-7.62,-68.07,-78.97,35.27,110.53,-1.26,-1.74,0.81,1.24,0.71,0,-5.75,110.76,9.63,0,0,0.67,2.5,9.96,32.92,1.36,5.01,5.14,926.84,,,83.26,,,,664.38,-83,-68.19,,-69.94,58.71,12.86,142.17,51.16,41.29,69.31,30.69,1000,59.57,57.8,205.57,179.14,69.52,37.3,25.04,285.71,45.41,13.06,44.27,41.2,97.25,3.07,7.06,30.15,16.36,23.6,-5.83,-13.48,64.18,9.15,126.09,90.68,176.68,-10.01,-18.78,-3.07,-6.77,-12.93,0.46,0.57,0.64,6.47,1.67,70.64,5.17,0.79,0.88,8.04,45.42,10.92,61.66,60.12,19.46,18.75,1.1,2.64,0.55,0,0.02,1734.07,,,,,,,,,1.51,8.94,2224.19,3.33,350.46,-250.46,-398.16,1734.07,-6134.28,6077.26,423.52,0,0,1578.97,,1.51,2224.19,3.33,,0,0,0.98,0.33,202.2,68.63,9.66,3.28,51232.7,-3832.27,UQ,
(주)넥스트엔터테인먼트월드,160550,Dec.24,144130684,127389677,259877391,-64620846,-24072120,-1110694,0,113244615,138755972,2140,27906106,-17.09,-12.55,0,-2.04,-8.75,-22.76,-20.3,-20.75,-12.31,0,0,0,,,,,10.49,-16.74,-21.26,-5.71,-6.61,-8.4,-14.24,-20.53,-8.18,-10.38,-135.86,-144.35,89.51,116.74,-5.5,-2.08,2.08,0.04,0.04,0,-7.58,118.73,9.79,0,0,1.63,1.56,7,59.58,1.53,4.68,4.39,521.85,,,84.91,,,,4058.06,-722,-680.87,,-679.32,55.46,0.09,124.52,55.41,44.54,46.61,53.39,621.85,95.56,87.36,113.14,113.05,40.95,8907.23,0.73,153.39,8907.23,5806.78,114.56,105.18,89.65,9.38,67.89,6.44,40.7,87.34,-3.83,-9.69,41.24,7.68,146.02,107.11,184.07,-8.33,-10.93,-4.45,-10.21,-8.05,0.4,0.49,0.85,8.12,0.74,12.53,29.14,0.68,0.69,817.84,0.45,817.84,0,0,6.9,52.91,0.93,2.36,0.39,0,0.04,-5054.5,,,,,,,,,-1.94,-11.3,-9251.23,-4.46,0,0,0,-5054.5,-25182.81,14130.89,2354.82,1385.11,0,2257.5,,-1.94,-9251.23,-4.46,,0,0,1.82,0.72,0,0,5.08,2.01,132587.21,-10809.5,UQ,
(주)넥스트칩,396270,Dec.24,,,,,,,,,,13580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,49.26,18.2,0,0,10.62,3.92,257437.36,-14338.08,,
(주)넥스틴,348210,Dec.24,110621215,19313651,189816881,125352823,38427641,10523258,0,113719876,32176812,51100,10457250,32.77,41.23,0,4.97,23.37,40.44,6.16,24.12,29.33,29.89,24.23,21.82,,,,,69.93,41.31,33.79,28.4,28.23,23.1,33.01,27,41.4,33.87,906.17,741.29,30.07,58.69,1.74,2.56,-0.22,2.46,0.33,21.5,22.95,57.9,24.54,2.83,0,-0.36,6.47,24.9,73.72,-1.02,0.4,0.69,3108.68,,,101.31,,,,11009.31,3748,4139.45,,4547.66,58.28,49.96,139.68,29.16,41.72,83.05,16.95,3014.94,50.24,46.45,572.76,286.62,165.21,24.78,60.52,645.76,196.41,3.84,20.41,12.25,4.26,8.16,14.09,48.1,5.48,6.6,1123.66,999999999,85.63,31.09,83.27,63.04,114.02,67.06,207.48,11.37,18.97,0,0.68,1,0.8,21.94,4.73,38.15,9.57,1.2,2.77,2.12,172.23,15.35,5.5,4.45,10.15,35.95,1.59,3.73,1.02,0,0.01,69942.01,,,,,,,,,36.85,510.38,2212654.57,61.5,24.05,75.95,54.94,69942.01,48950.9,16820.33,-246.07,0,0,4437.1,,36.85,2212654.57,61.5,,19.43,9.95,5.27,2.7,18.05,9.25,7.02,3.6,524386.18,54757.3,UQ,
(주)넥슨게임즈,225570,Dec.24,292030950,60911188,487204949,184663763,31444036,12321204,0,256071098,174498507,13390,65860174,32.79,48.97,0,141.75,50.63,23.06,0,18.97,32.49,222.4,178.39,178.39,,,,,100,15.13,12.28,10.59,9.07,7.36,13.46,10.93,10.37,8.42,117.68,95.53,0,84.87,1.96,1.86,-0.8,1.06,0.09,30.63,6.88,83.61,79.85,0,0.7,-0.92,6.62,18.21,28.07,-1.47,5.48,8.56,948.16,,,93.25,,,,3890.91,492,1010.65,,588.54,59.94,0,149.63,59.94,40.06,64.18,35.82,949.53,62.41,45.78,479.44,479.44,98.06,0,0,0,0,0,55.8,19.48,16.47,36.32,49.15,47.44,16.59,25.84,8.75,999999999,64.09,9.48,103.36,63.41,162.21,29.62,63.96,10.61,20.18,0,0.6,0.69,0.89,7.78,1.84,0,0,0.97,0.97,0,0,0,0,0,8.55,42.71,1.58,3.49,0.78,0.11,0.02,236282.75,,,,,,,,,48.5,269.42,6774.58,92.27,75.43,24.57,13.31,236282.75,43765.24,178228.24,-2047.57,10.02,1559.72,14767.11,,48.5,6774.58,92.27,,68.34,27.6,6.64,2.68,31.94,12.9,8.08,3.26,905597.13,49975.32,UQ,
(주)넥써쓰,205500,Dec.24,17479568,5717340,33801390,-86537568,-8217215,342716,0,7551040,7956275,2990,57465219,-14.61,-15.29,0,0,-22.46,-5.69,0,-11.93,38.29,0,0,0,,,,,100,-118.36,-108.82,-23.13,-24.36,-22.39,-32.39,-29.78,-34.2,-31.44,-33.07,-30.41,0,218.36,14.07,17.27,-2.27,0.59,2.83,0,-22.86,179.68,70.05,0,0.36,-1.03,7.46,17.36,54.22,-1.89,6.78,7.36,-10,,,-32.1,,,,145.94,-158,-216.05,,-172.73,51.71,0,107.09,51.71,48.29,76.46,23.54,89.95,63.15,58.12,305.73,305.73,228.01,0,0,0,0,0,30.78,22.12,79.89,8.66,19.03,34.8,12.11,15.84,-32.17,999999999,-8.5,-0.1,238.47,247.45,332.03,-156.11,-303.32,-36.75,-164.49,0,0.21,0.29,0.27,0.28,0.83,0,0,0.42,0.42,0,0,0,0,0,21.94,16.63,0.4,1.34,0.33,0.05,0.06,4942.67,,,,,,,,,14.62,95.87,0,65.46,235.98,-135.98,-166.25,4942.67,-7874.5,11663.95,-171.67,22.7,60.33,1241.86,,14.62,0,65.46,,0,0,6.55,0,0,0,20.69,0,146632.23,-7797.54,UQ,
(주)넵튠,217270,Dec.24,74095484,21656358,407453682,-75244605,4752344,3339909,0,121600719,37038722,5440,46676150,-0.24,-17.57,0,0,-0.82,2.47,36.66,-0.14,21.91,345.59,0,0,,,,,100,7.9,3.91,2.54,2.35,1.16,2.62,0.53,4.05,2,41.2,8.34,0,92.1,-1.24,21.96,-0.22,1.65,31.53,47.33,1.1,93.32,18.31,0.06,0.55,-0.16,4.91,27.94,9.14,-0.66,9.59,4.76,1585.84,,,101.27,,,,2609.2,43,464.54,,206.11,18.19,0.05,22.23,18.18,81.81,90.91,9.09,1577.34,90,86.41,342.14,341.98,187.66,56884.73,0.07,0,56884.73,0,10,5.85,23.48,4.15,29.33,12.87,1.25,1.37,19.7,999999999,91.4,15.96,60.2,275.28,185.24,31.19,227.1,2.84,9.5,0,0.3,0.51,0.33,5.22,2.99,0,0,1.66,1.66,3923.11,0.09,3923.11,0,0,5.93,61.51,0.36,69.03,1.21,0,0.02,48244.66,,,,,,,,,11.84,3030.65,14195.08,39.67,64.48,35.52,9.85,48244.66,8092.25,31108.51,-266.85,38.28,930.5,8341.97,,11.84,14195.08,39.67,,287.66,183.2,0.94,0.6,32.43,20.66,13.48,8.58,233631.92,7195.93,UQ,
(주)노랑풍선,104620,Dec.24,78997493,94533208,135143319,11060063,-4812791,-2124411,0,131914392,98526148,4600,15842126,28.37,2.97,0,-0.7,5.97,51.06,67.65,-9.86,33.77,0,0,-179.86,,,,,100,-4.96,-3.65,-4.38,-5.45,-4,-17.02,-12.38,-6.39,-4.7,-82.65,-59.85,0,104.96,-0.3,-0.47,0.27,-0.84,8.49,0,-3.7,105.14,21.67,0,0,0.25,2.02,16.32,52.88,0.44,4.83,5.76,358.49,,,71.95,,,,8326.81,-299,1170.23,,-413.23,58.45,14.43,140.7,50.02,41.55,27.1,72.9,458.49,153.33,138.26,83.57,71.5,31.16,124.34,0,0,122625.58,0,269.07,258.17,89.61,10.9,0,-11.5,25.15,92.81,-3.99,-18.2,21.23,3.62,49.76,41.36,88.21,10.94,31.72,7.98,8.17,-18.11,1.1,1.29,3.43,16.65,1.61,0,0,2.01,2.33,14.49,25.18,12559.69,0,0,7.42,49.17,2.42,4.34,0.91,0.05,0.01,27319.22,,,,,,,,,20.21,89.91,3054.5,20.71,112.53,-12.53,-17.62,27319.22,-6937.2,30742.14,361.4,288.99,0,2863.88,,20.21,3054.5,20.71,,0,0,5.08,2.23,8.19,3.6,1.15,0.51,77969.2,-4012.76,UQ,
(주)노루페인트,90350,Dec.24,310163396,210928108,667672288,284725824,35165884,10268156,0,793847292,260834969,7940,20000000,-0.14,-1.29,0,6.85,1.99,-2.5,9.79,8.7,1.71,4.25,26.19,43.97,,,,,21.43,5.5,4.43,6.84,6.54,5.26,11.18,9,7.1,5.72,426.76,343.7,78.57,94.5,0.31,0.27,0.06,0.32,0.47,25.52,5.33,94.19,12.94,2.16,0.27,0.06,1.91,15.37,244.01,0.17,5.71,3.98,3876.3,,,95.71,,,,38794.04,1718,2112.12,,2133.82,46.45,25.37,86.76,34.67,53.55,60.93,39.07,3976.3,87.88,78.27,147.05,109.74,36.67,185.97,79.3,122.05,367.88,152.37,64.11,51.85,98.85,12.27,50.29,14.86,6.6,10.84,17.36,99.16,59.4,38.76,39.57,44.6,77.04,19.97,118.14,7.8,6.56,93,1.19,1.29,2.03,77.59,2.86,6.62,55.13,2.53,3.32,10.56,34.57,21.47,30.23,0,5.44,67.05,2.24,2.77,1.51,0.11,0.02,161206.15,,,,,,,,,24.14,56.84,1013.91,20.31,60.67,39.33,21.81,161206.15,46087.09,97811.61,469.53,951.42,2007.46,14421.81,,24.14,1013.91,20.31,,7.94,4.62,0.77,0.45,7.33,4.26,0.38,0.22,147262.6,39462.7,UQ,
(주)노루홀딩스,320,Dec.24,618344524,358871107,1214838948,394828791,82067736,20752962,0,1247877697,442599208,12880,13291151,2.19,-1.27,0,-16.56,0.47,3.9,9.02,13.67,2.74,7.59,99.3,146.13,,,,,24.67,5.81,6.58,6.53,6.04,6.83,9.9,11.48,6.52,7.38,850.65,594.95,75.33,94.19,2.48,0.4,0.01,0.31,0.27,22.1,6.84,91.96,16.21,1.52,0.23,0.01,2.22,13.21,209.15,0.03,5.03,4.05,5511.7,,,99.45,,,,92198.33,4836,5265.79,,5360.64,50.9,25.5,103.66,37.92,49.1,63.57,36.43,5512.41,77.24,69.69,172.3,128.37,37.18,148.11,60.76,137.53,280.93,107.69,57.31,46.47,86.21,10.84,32.27,21.36,10.02,15.76,11.85,682,63.56,90.53,48.62,47.69,89.85,19.07,69.34,6.95,6.76,477.51,1.04,1.12,1.7,146.3,2.66,7.43,49.12,2.06,2.74,8.26,44.2,16.08,25.58,0,5.47,66.76,2.1,2.82,1.3,0.17,0.02,329667.97,,,,,,,,,27.14,76.12,1140.72,26.42,58.72,41.28,24.89,329667.97,103473.75,193568.6,151.94,3642.08,2712.21,26509.06,,27.14,1140.72,26.42,,10.75,7.44,0.61,0.42,30.05,20.79,9.2,6.37,210997.53,7338.74,UQ,
(주)노머스,473980,Dec.24,51526584,11909697,98797027,-56294929,9881746,-10869,0,68912540,12655451,20600,10791617,114.01,5.15,0,0,124.72,105.04,30.33,121.7,62.92,0,0,0,,,,,41.71,11.87,14.34,11.81,11.29,13.63,13.11,15.81,11.78,14.22,296.86,358.55,58.29,88.13,2.45,1.44,-0.48,1.01,1.57,-0.11,13.18,86.31,10.55,0,0,-0.53,0.55,13.82,10.35,-3.29,15.92,13.31,1496.45,,,90.94,,,,296404.39,1022,-138552.07,,35189.83,52.15,4.97,109,49.56,47.85,87.19,12.81,1596.45,54.88,54.4,432.64,411.15,100.57,520.78,6.46,841.64,540,61.88,14.69,13.83,97.69,0.87,1.88,40.1,0.27,0.32,189.28,999999999,81.73,14.96,55.62,49.56,139.54,-189.89,-8849.54,-24.32,-34.87,0,0.95,0.99,1.1,25,6.84,46.61,7.83,1.8,1.91,30.47,11.98,32.21,0,0,7.93,46.05,2.02,336.97,1.45,0,0.02,16462.71,,,,,,,,,16.66,7852.88,0,23.89,39.97,60.03,60.03,16462.71,9870.88,6579.53,-331.88,0,0,344.18,,16.66,0,23.89,,0.66,0.37,0.07,0.04,0,0,0.09,0.05,210658.96,8541.45,UQ,
(주)노바렉스,194700,Dec.24,142289546,66062177,289610396,160232975,23838295,4834476,0,297725281,69347328,7500,18754848,9.4,-1.24,0,0,3.11,16.77,63.93,9.5,-1.47,-9.06,4.45,3.66,,,,,14.64,7.79,8.01,8.58,8.37,8.6,11.02,10.97,8.8,9.05,247.29,245.45,85.36,92.21,1.84,1.9,0.1,1.2,0.13,20.39,8.71,90.62,15.74,0.75,0.46,0.11,3.34,7.96,33.22,0.44,3.58,3.65,2238.13,,,95.58,,,,15874.58,1300,709.44,,1236.45,49.13,39.52,96.58,29.72,50.87,76.05,23.95,2338.13,66.88,65.9,215.39,130.28,47,91.35,73.76,170.99,460.09,53.42,31.48,29.99,91.66,1.49,4.31,26.32,8.5,11.17,26.34,97.9,72.82,22.49,44.36,48.74,92.18,27.84,78.44,6.67,6.48,78.37,1.07,1.13,1.42,31.75,4.45,10.46,34.88,2.25,3.43,6.58,55.49,34.4,11.56,53.59,5.63,64.85,2.05,2.35,1.53,0.5,0.01,83169.54,,,,,,,,,28.72,65.98,223.14,27.93,52.51,47.49,28.66,83169.54,28672.77,43669.64,295.91,0,1271.76,9259.47,,28.72,223.14,27.93,,11.12,5.59,1.16,0.59,19.81,9.96,0.84,0.42,135393.45,30888.24,UQ,
(주)노바텍,285490,Dec.24,124851950,7112832,183390239,151840364,17235477,3795899,0,65812404,12461553,14660,10575831,8.36,8.15,0,0,59.48,-5.8,1.92,7.98,-28.79,-50.75,-41.63,-24.21,,,,,38.99,19.16,26.19,9.54,7.15,9.78,7.65,10.8,7.78,10.63,238.49,327.53,61.01,80.84,12.79,5.4,-6.36,5.09,0,18.05,7.4,73.68,21.92,0.54,0,-7.11,5.94,10.48,29.76,-36.41,6.19,5.27,3377.75,,,102.62,,,,6222.91,1733,1509.05,,1192.47,68.08,3.67,213.28,65.58,31.92,93.2,6.8,3148.81,34.25,33.21,1755.31,1690.97,776.38,101.88,3.89,142.59,209.67,71.45,7.29,4.16,49.56,3.13,4.54,64.2,0.16,0.17,704.39,999999999,99.81,34.61,195.55,72.36,240.89,184.69,7951.19,12.55,34.97,0,0.37,0.41,0.4,12.45,5.72,26.77,13.63,0.51,0.53,14.52,25.14,33.44,25.65,0,15.84,23.04,1.38,2.06,0.48,0.25,0.03,33249.57,,,,,,,,,18.13,108.27,639.66,50.52,38.83,61.17,51.84,33249.57,21031.38,12909.27,-4187.21,0,0,3496.13,,18.13,639.66,50.52,,5.92,2.35,2.43,0.97,6.24,2.47,37.33,14.82,108402.26,-3309.4,UQ,
(주)노브랜드,145170,Dec.24,272934186,176872005,393902963,49141904,-16973328,1143255,0,546244869,239670940,7480,16908405,44.31,33.87,0,1575.97,59.68,38.41,30.79,57.62,18.98,67.64,0,-543.27,,,,,15.35,3.22,-3.11,5.64,5.27,-5.09,13.94,-13.47,5.51,-5.32,291.51,-281.55,84.65,96.78,-6.12,-6.26,1.16,-0.57,0,0,-3.19,102.76,19.54,0.54,0,1.08,1.37,13.61,158.61,3.06,4.3,5.16,1753.86,,,96.56,,,,35652.28,-2233,891.72,,1147.03,69.29,44.98,225.62,38.13,30.71,39.15,60.85,1797.74,78.43,55.74,154.31,84.91,20.07,71.64,127.79,271.54,244.97,26.38,155.4,114.68,70.63,40.72,65.37,24.39,44.69,114.13,2.32,-1.5,38.2,17.54,43.03,18.01,68.35,0.05,0.07,0.03,0.02,2.77,1.64,1.71,4.33,90.61,2.63,20.86,17.49,2.32,4.31,5.04,72.37,17.87,18.62,14.37,7.04,51.88,5.55,8.75,1.41,0,0.01,113545.2,,,,,,,,,28.83,158.85,1427.45,20.79,101.28,-1.28,-14.95,113545.2,-15830.07,115002.07,6337.56,0,0,8035.64,,28.83,1427.45,20.79,,0,0,6.8,0.74,71.69,7.76,1.99,0.22,159512.9,13656.79,UQ,
(주)노블엠앤비,106520,Dec.24,2498945,14680260,21403213,-201854341,-6721060,0,0,3928792,17667038,411,38695952,-23.83,0.78,12.5,0,2,-73.88,97.43,-25.42,-25.98,0,0,0,,,,,-38.34,-173.92,-171.07,-26.22,-27.61,-27.15,-96.15,-29.03,-27.77,-27.32,-17.66,-16.29,138.34,273.92,2.85,-5.67,5.65,-1.34,0.01,0,-26.26,217.04,25.92,0,0,1.78,8.43,19.56,352.75,1.26,10.6,8.05,-52,,,-58.1,,,,101.53,-163,-116.47,,-176.58,11.68,37.4,13.22,7.31,88.32,17.46,82.54,47.94,505.98,281.19,17.02,10.66,1.83,86.58,0,49.25,228.66,175.79,472.86,392.92,94.77,79.94,0,-56.91,24.98,143.08,-12.06,-29.26,-163.24,-0.9,153.54,476.45,542.04,-26.46,-87.45,-21.84,-118.99,-30.77,0.16,0.16,0.55,0.1,0.22,3.09,118.12,0.65,0.74,5.58,65.4,14.98,10.73,0,3.83,95.38,0.21,0.48,0.19,0.17,0.02,-2217.6,,,,,,,,,-10.36,-26.96,-117.52,-56.44,0,0,0,-2217.6,-6721.06,3230.21,222.09,0,0,1051.17,,-10.36,-117.52,-56.44,,0,0,0,0,0,0,0,0,16074.35,-5562.26,DU,1
(주)노타,486990,Dec.24,20791648,93774935,27419825,-74134943,-24851597,8,0,8437471,97936480,,25809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UQ,
(주)녹십자,6280,Dec.24,1201833945,769474795,2743875852,815335640,-42637065,1527336,0,1679891941,1262860146,179500,11686538,3.8,-2.78,0,0.94,-3.87,15.66,44.62,-3.66,3.27,-6.76,0,0,,,,,28.69,1.91,-2.54,1.33,1.19,-1.58,2.13,-2.06,1.36,-1.8,54.95,-44.98,71.31,98.09,-4.36,-1.43,2.19,0.43,2.06,0,-0.22,99.2,16.67,0,0,2.15,4.73,7.98,44.65,3.11,4.88,5.21,2104.84,,,96.72,,,,143745.9,-2303,-4574.5,,2747.38,43.8,62.12,77.94,16.59,56.2,53.98,46.02,2143.74,104.12,78.1,156.19,59.16,2.93,51.77,172.68,246.48,161.26,21,85.27,51.96,47.36,33.31,114.11,15.76,30.18,55.92,0.79,-0.12,53.15,24.96,66.7,93.64,143.37,-2.33,-3.56,-1.07,-1.75,0.87,0.62,0.71,1.11,28.75,1.42,11.18,32.66,1.5,3.43,2.66,137.19,8.28,8.55,10.05,4.08,89.46,1.07,2.06,0.87,0,0.01,361994.51,,,,,,,,,13.19,47.51,223.28,21.55,78.8,21.2,-11.78,361994.51,-41109.73,285252,36818.24,0,0,81034.17,,13.19,223.28,21.55,,100.14,59.27,1.96,1.16,0,0,1.67,0.99,2736047.36,111817.95,UQ,
(주)녹십자엠에스,142280,Dec.24,39428574,37122889,87974527,4115256,3396435,-505,0,103852287,44545776,3580,21741926,-2.82,5.77,0,0,2.89,-9.04,26.01,19.47,10.47,29.65,99.25,184.78,,,,,14.3,2.25,3.27,2.79,2.62,3.81,5.81,9.46,2.84,4.13,21.79,33.42,85.7,97.75,1.02,1.29,2.57,-0.03,0.33,-0.01,6.79,96.95,9.78,0,0,2.47,3.51,10.34,48.63,5.43,16.27,14.14,282.93,,,74.63,,,,4913.48,168,173.21,,110.46,44.82,47.09,81.22,23.71,55.18,49.37,50.63,379.12,111.78,95.47,106.21,56.19,1.83,94.14,805.33,181.84,187.46,51.77,102.57,85.48,66.86,17.09,321.94,2.62,19.73,39.96,0.83,2.27,37.48,3.03,39.85,46.09,77.6,8.87,22.77,4.49,3.8,0.88,1.16,1.26,2.58,9.69,2.12,9.86,37,2.51,4.2,6.24,58.52,11.91,23.4,54.97,5.39,67.74,2.17,2.81,1.25,0.5,0.01,20401.79,,,,,,,,,23.19,62.03,185.89,19.65,51.73,48.27,16.65,20401.79,3395.93,10553.74,2666.12,0,0,3786.01,,23.19,185.89,19.65,,37.91,16.85,3.72,1.65,38.82,17.26,1.4,0.62,93299.09,5901.66,UQ,
